Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Profit,Payment Mode,Month-Year
CA-2019-160304,2019-01-01,2019-07-01,Standard Class,BM-11575,United States,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,73.94,1,28.2668,Online,2019-01
CA-2019-160304,2019-02-01,2019-07-01,Standard Class,BM-11575,United States,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,173.94,3,38.2668,Online,2019-02
CA-2019-160304,2019-02-01,2019-07-01,Standard Class,BM-11575,United States,Maryland,East,TEC-PH-10000455,Technology,Phones,231.98,2,67.2742,Cards,2019-02
CA-2019-125206,2019-03-01,2019-05-01,First Class,LR-16915,United States,California,West,OFF-ST-10003692,Office Supplies,Storage,114.46,2,28.615,Online,2019-03
US-2019-116365,2019-03-01,2019-08-01,Standard Class,CA-12310,United States,Texas,Central,TEC-AC-10002217,Technology,Accessories,30.08,2,-5.264,Online,2019-03
US-2019-116365,2019-03-01,2019-08-01,Standard Class,CA-12310,United States,Texas,Central,TEC-AC-10002942,Technology,Accessories,165.6,3,-6.21,Online,2019-03
US-2019-116365,2019-03-01,2019-08-01,Standard Class,CA-12310,United States,Texas,Central,TEC-PH-10002890,Technology,Phones,180.96,5,13.572,Cards,2019-03
CA-2019-105207,2019-03-01,2019-08-01,Standard Class,BO-11350,United States,Oklahoma,Central,FUR-TA-10000617,Furniture,Tables,1592.85,7,350.427,COD,2019-03
CA-2019-105207,2019-03-01,2019-08-01,Standard Class,BO-11350,United States,Oklahoma,Central,OFF-BI-10004364,Office Supplies,Binders,11.88,2,5.346,COD,2019-03
US-2019-164630,2019-04-01,2019-09-01,Standard Class,EB-13975,United States,North Carolina,South,TEC-CO-10000971,Technology,Copiers,959.968,4,119.996,Online,2019-04
CA-2019-158211,2019-04-01,2019-08-01,Standard Class,BP-11185,United States,Pennsylvania,East,OFF-AR-10004078,Office Supplies,Art,4.672,1,0.584,Online,2019-04
CA-2019-158211,2019-04-01,2019-08-01,Standard Class,BP-11185,United States,Pennsylvania,East,OFF-BI-10002026,Office Supplies,Binders,104.58,6,-80.178,Online,2019-04
CA-2019-134474,2019-05-01,2019-07-01,Second Class,AJ-10795,United States,Florida,South,TEC-AC-10001714,Technology,Accessories,191.472,6,40.6878,COD,2019-05
CA-2019-134474,2019-05-01,2019-07-01,Second Class,AJ-10795,United States,Florida,South,OFF-AR-10003958,Office Supplies,Art,5.248,2,0.5904,Online,2019-05
CA-2019-134474,2019-05-01,2019-07-01,Second Class,AJ-10795,United States,Florida,South,TEC-PH-10002923,Technology,Phones,59.184,2,5.1786,COD,2019-05
CA-2019-101938,2019-07-01,2019-12-01,Standard Class,DW-13480,United States,California,West,OFF-AR-10003696,Office Supplies,Art,34.58,1,10.0282,COD,2019-07
CA-2019-158806,2019-07-01,2019-11-01,Standard Class,NM-18520,United States,Texas,Central,FUR-FU-10004270,Furniture,Furnishings,23.076,3,-10.9611,COD,2019-07
CA-2019-158806,2019-07-01,2019-11-01,Standard Class,NM-18520,United States,Texas,Central,OFF-PA-10004621,Office Supplies,Paper,25.92,5,9.072,Cards,2019-07
US-2019-100461,2019-08-01,2019-12-01,Standard Class,JO-15145,United States,Wisconsin,Central,FUR-BO-10002545,Furniture,Bookcases,1565.88,6,407.1288,Online,2019-08
US-2019-100461,2019-08-01,2019-12-01,Standard Class,JO-15145,United States,Wisconsin,Central,OFF-BI-10001460,Office Supplies,Binders,106.05,7,49.8435,Cards,2019-08
US-2019-137295,2019-08-01,2019-01-13,Standard Class,VS-21820,United States,North Carolina,South,OFF-BI-10004236,Office Supplies,Binders,30.828,7,-24.6624,Cards,2019-08
US-2019-137295,2019-08-01,2019-01-13,Standard Class,VS-21820,United States,North Carolina,South,OFF-AR-10001955,Office Supplies,Art,47.616,3,5.952,COD,2019-08
US-2019-137295,2019-08-01,2019-01-13,Standard Class,VS-21820,United States,North Carolina,South,TEC-PH-10004080,Technology,Phones,108.784,2,10.8784,COD,2019-08
CA-2019-108882,2019-09-01,2019-01-15,Standard Class,LA-16780,United States,California,West,TEC-AC-10000420,Technology,Accessories,349.95,5,118.983,COD,2019-09
CA-2019-108882,2019-09-01,2019-01-15,Standard Class,LA-16780,United States,California,West,TEC-PH-10002726,Technology,Phones,377.928,9,141.723,Cards,2019-09
CA-2019-126543,2019-09-01,2019-01-13,Second Class,MF-17665,United States,Ohio,East,FUR-FU-10002445,Furniture,Furnishings,15.168,2,3.792,Cards,2019-09
CA-2019-116547,2019-10-01,2019-01-17,Standard Class,KB-16585,United States,Washington,West,FUR-FU-10000076,Furniture,Furnishings,79.92,4,34.3656,Cards,2019-10
CA-2019-116547,2019-10-01,2019-01-17,Standard Class,KB-16585,United States,Washington,West,TEC-AC-10002335,Technology,Accessories,69.98,2,13.2962,COD,2019-10
CA-2019-163937,2019-10-01,2019-01-13,Second Class,JB-16000,United States,Washington,West,FUR-FU-10000010,Furniture,Furnishings,24.85,5,7.7035,Cards,2019-10
CA-2019-126529,2019-11-01,2019-01-13,Second Class,DE-13255,United States,Ohio,East,OFF-PA-10001166,Office Supplies,Paper,15.552,3,5.4432,Online,2019-11
CA-2019-126529,2019-11-01,2019-01-13,Second Class,DE-13255,United States,Ohio,East,OFF-PA-10003656,Office Supplies,Paper,63.312,3,20.5764,Cards,2019-11
CA-2019-126529,2019-11-01,2019-01-13,Second Class,DE-13255,United States,Ohio,East,TEC-PH-10000148,Technology,Phones,15.588,2,-9.8724,Online,2019-11
CA-2019-141887,2019-11-01,2019-01-15,Standard Class,MP-17470,United States,Ohio,East,FUR-FU-10002268,Furniture,Furnishings,54.992,14,8.9362,Online,2019-11
CA-2019-133368,2019-01-14,2019-01-20,Standard Class,AG-10675,United States,North Carolina,South,OFF-PA-10004039,Office Supplies,Paper,89.568,2,32.4684,Cards,2019-01
CA-2019-133368,2019-01-14,2019-01-20,Standard Class,AG-10675,United States,North Carolina,South,FUR-FU-10003374,Furniture,Furnishings,315.776,8,31.5776,Online,2019-01
CA-2019-152072,2019-01-15,2019-01-19,Standard Class,Dp-13240,United States,New Jersey,East,OFF-EN-10003040,Office Supplies,Envelopes,52.34,2,24.5998,Cards,2019-01
CA-2019-152072,2019-01-15,2019-01-19,Standard Class,Dp-13240,United States,New Jersey,East,OFF-AR-10001573,Office Supplies,Art,4.66,2,1.3514,COD,2019-01
CA-2019-152072,2019-01-15,2019-01-19,Standard Class,Dp-13240,United States,New Jersey,East,TEC-AC-10000844,Technology,Accessories,254.97,3,91.7892,Cards,2019-01
CA-2019-140746,2019-01-15,2019-01-15,Same Day,RC-19825,United States,Connecticut,East,FUR-TA-10002903,Furniture,Tables,181.797,1,-15.5826,COD,2019-01
CA-2019-137848,2019-01-15,2019-01-21,Standard Class,WB-21850,United States,New York,East,OFF-EN-10001137,Office Supplies,Envelopes,16.52,4,7.5992,Online,2019-01
